year,month,CLF16OV
1948,1,60095
1948,2,60524
1948,3,60070
1948,4,60677
1948,5,59972
1948,6,60957
1948,7,61181
1948,8,60806
1948,9,60815
1948,10,60646
1948,11,60702
1948,12,61169
1949,1,60771
1949,2,61057
1949,3,61073
1949,4,61007
1949,5,61259
1949,6,60948
1949,7,61301
1949,8,61590
1949,9,61633
1949,10,62185
1949,11,62005
1949,12,61908
1950,1,61661
1950,2,61687
1950,3,61604
1950,4,62158
1950,5,62083
1950,6,62419
1950,7,62121
1950,8,62596
1950,9,62349
1950,10,62428
1950,11,62286
1950,12,62068
1951,1,61941
1951,2,61778
1951,3,62526
1951,4,61808
1951,5,62044
1951,6,61615
1951,7,62106
1951,8,61927
1951,9,61780
1951,10,62204
1951,11,62014
1951,12,62457
1952,1,62432
1952,2,62419
1952,3,61721
1952,4,61720
1952,5,62058
1952,6,62103
1952,7,61962
1952,8,61877
1952,9,62457
1952,10,61971
1952,11,62491
1952,12,62621
1953,1,63439
1953,2,63520
1953,3,63657
1953,4,63167
1953,5,62615
1953,6,63063
1953,7,63057
1953,8,62816
1953,9,62727
1953,10,62867
1953,11,62949
1953,12,62795
1954,1,63101
1954,2,63994
1954,3,63793
1954,4,63934
1954,5,63675
1954,6,63343
1954,7,63302
1954,8,63707
1954,9,64209
1954,10,63936
1954,11,63759
1954,12,63312
1955,1,63910
1955,2,63696
1955,3,63882
1955,4,64564
1955,5,64381
1955,6,64482
1955,7,65145
1955,8,65581
1955,9,65628
1955,10,65821
1955,11,66037
1955,12,66445
1956,1,66419
1956,2,66124
1956,3,66175
1956,4,66264
1956,5,66722
1956,6,66702
1956,7,66752
1956,8,66673
1956,9,66714
1956,10,66546
1956,11,66657
1956,12,66700
1957,1,66428
1957,2,66879
1957,3,66913
1957,4,66647
1957,5,66695
1957,6,67052
1957,7,67336
1957,8,66706
1957,9,67064
1957,10,67066
1957,11,67123
1957,12,67398
1958,1,67095
1958,2,67201
1958,3,67223
1958,4,67647
1958,5,67895
1958,6,67674
1958,7,67824
1958,8,68037
1958,9,68002
1958,10,68045
1958,11,67658
1958,12,67740
1959,1,67936
1959,2,67649
1959,3,68068
1959,4,68339
1959,5,68178
1959,6,68278
1959,7,68539
1959,8,68432
1959,9,68545
1959,10,68821
1959,11,68533
1959,12,68994
1960,1,68962
1960,2,68949
1960,3,68399
1960,4,69579
1960,5,69626
1960,6,69934
1960,7,69745
1960,8,69841
1960,9,70151
1960,10,69884
1960,11,70439
1960,12,70395
1961,1,70447
1961,2,70420
1961,3,70703
1961,4,70267
1961,5,70452
1961,6,70878
1961,7,70536
1961,8,70534
1961,9,70217
1961,10,70492
1961,11,70376
1961,12,70077
1962,1,70189
1962,2,70409
1962,3,70414
1962,4,70278
1962,5,70551
1962,6,70514
1962,7,70302
1962,8,70981
1962,9,71153
1962,10,70917
1962,11,70871
1962,12,70854
1963,1,71146
1963,2,71262
1963,3,71423
1963,4,71697
1963,5,71832
1963,6,71626
1963,7,71956
1963,8,71786
1963,9,72131
1963,10,72281
1963,11,72418
1963,12,72188
1964,1,72356
1964,2,72683
1964,3,72713
1964,4,73274
1964,5,73395
1964,6,73032
1964,7,73007
1964,8,73118
1964,9,73290
1964,10,73308
1964,11,73286
1964,12,73465
1965,1,73569
1965,2,73857
1965,3,73949
1965,4,74228
1965,5,74466
