year,month,NROU
1949,1,5.255
1949,4,5.261
1949,7,5.268
1949,10,5.274
1950,1,5.281
1950,4,5.287
1950,7,5.294
1950,10,5.301
1951,1,5.308
1951,4,5.314
1951,7,5.321
1951,10,5.327
1952,1,5.333
1952,4,5.339
1952,7,5.344
1952,10,5.35
1953,1,5.354
1953,4,5.359
1953,7,5.362
1953,10,5.366
1954,1,5.369
1954,4,5.373
1954,7,5.375
1954,10,5.378
1955,1,5.381
1955,4,5.383
1955,7,5.386
1955,10,5.388
1956,1,5.39
1956,4,5.393
1956,7,5.395
1956,10,5.398
1957,1,5.401
1957,4,5.404
1957,7,5.407
1957,10,5.41
1958,1,5.414
1958,4,5.418
1958,7,5.422
1958,10,5.427
1959,1,5.432
1959,4,5.438
1959,7,5.443
1959,10,5.45
1960,1,5.456
1960,4,5.463
1960,7,5.469
1960,10,5.476
1961,1,5.483
1961,4,5.491
1961,7,5.498
1961,10,5.506
1962,1,5.514
1962,4,5.523
1962,7,5.531
1962,10,5.541
1963,1,5.551
1963,4,5.561
1963,7,5.572
1963,10,5.583
1964,1,5.595
1964,4,5.607
1964,7,5.62
1964,10,5.633
1965,1,5.645
1965,4,5.659
1965,7,5.672
1965,10,5.685
1966,1,5.697
1966,4,5.71
1966,7,5.722
1966,10,5.734
1967,1,5.746
1967,4,5.758
1967,7,5.769
1967,10,5.78
1968,1,5.792
1968,4,5.803
1968,7,5.815
1968,10,5.826
1969,1,5.838
1969,4,5.851
1969,7,5.863
1969,10,5.876
1970,1,5.89
1970,4,5.904
1970,7,5.918
1970,10,5.932
1971,1,5.947
1971,4,5.963
1971,7,5.978
1971,10,5.994
1972,1,6.009
1972,4,6.025
1972,7,6.041
1972,10,6.056
1973,1,6.071
1973,4,6.086
1973,7,6.1
1973,10,6.113
1974,1,6.126
1974,4,6.138
1974,7,6.15
1974,10,6.16
1975,1,6.17
1975,4,6.18
1975,7,6.188
1975,10,6.197
1976,1,6.204
1976,4,6.211
1976,7,6.217
1976,10,6.223
1977,1,6.227
1977,4,6.232
1977,7,6.235
1977,10,6.237
1978,1,6.239
1978,4,6.239
1978,7,6.239
1978,10,6.238
1979,1,6.235
1979,4,6.232
1979,7,6.228
1979,10,6.223
1980,1,6.217
1980,4,6.21
1980,7,6.203
1980,10,6.195
1981,1,6.187
1981,4,6.178
1981,7,6.169
1981,10,6.16
1982,1,6.15
1982,4,6.141
1982,7,6.131
1982,10,6.122
1983,1,6.112
1983,4,6.103
1983,7,6.094
1983,10,6.085
1984,1,6.076
1984,4,6.066
1984,7,6.057
1984,10,6.048
1985,1,6.038
1985,4,6.029
1985,7,6.019
1985,10,6.008
1986,1,5.997
1986,4,5.986
1986,7,5.973
1986,10,5.961
1987,1,5.947
1987,4,5.933
1987,7,5.917
1987,10,5.901
1988,1,5.885
1988,4,5.867
1988,7,5.849
1988,10,5.83
1989,1,5.811
1989,4,5.791
1989,7,5.772
1989,10,5.752
1990,1,5.732
1990,4,5.713
1990,7,5.693
1990,10,5.674
1991,1,5.656
1991,4,5.637
1991,7,5.619
1991,10,5.602
1992,1,5.585
1992,4,5.569
1992,7,5.553
1992,10,5.537
1993,1,5.522
1993,4,5.507
1993,7,5.493
1993,10,5.48
1994,1,5.467
1994,4,5.454
1994,7,5.442
1994,10,5.431
1995,1,5.42
1995,4,5.409
1995,7,5.399
1995,10,5.389
1996,1,5.379
1996,4,5.369
1996,7,5.36
1996,10,5.35
1997,1,5.341
1997,4,5.332
1997,7,5.323
1997,10,5.313
1998,1,5.304
1998,4,5.294
1998,7,5.285
1998,10,5.275
1999,1,5.265
1999,4,5.255
1999,7,5.245
1999,10,5.235
2000,1,5.224
2000,4,5.214
2000,7,5.204
2000,10,5.193
2001,1,5.183
2001,4,5.172
2001,7,5.161
2001,10,5.151
2002,1,5.14
2002,4,5.129
2002,7,5.119
2002,10,5.108
2003,1,5.097
2003,4,5.087
2003,7,5.077
2003,10,5.067
2004,1,5.057
2004,4,5.047
2004,7,5.038
2004,10,5.028
2005,1,5.02
2005,4,5.011
2005,7,5.003
2005,10,4.996
2006,1,4.99
2006,4,4.984
2006,7,4.976
2006,10,4.965
2007,1,4.95
2007,4,4.935
2007,7,4.919
2007,10,4.905
2008,1,4.892
2008,4,4.884
2008,7,4.882
2008,10,4.887
2009,1,4.901
2009,4,4.923
2009,7,4.95
2009,10,4.978
2010,1,5.005
2010,4,5.029
2010,7,5.047
2010,10,5.062
2011,1,5.073
2011,4,5.078
2011,7,5.079
2011,10,5.073
2012,1,5.06
2012,4,5.041
2012,7,5.018
2012,10,4.993
2013,1,4.966
2013,4,4.939
2013,7,4.912
2013,10,4.884
2014,1,4.855
2014,4,4.825
2014,7,4.793
2014,10,4.76
2015,1,4.728
2015,4,4.698
2015,7,4.674
2015,10,4.655
2016,1,4.641
2016,4,4.633
2016,7,4.626
2016,10,4.621
2017,1,4.616
2017,4,4.611
2017,7,4.607
2017,10,4.602
2018,1,4.597
2018,4,4.592
2018,7,4.587
2018,10,4.582
